id,title,view_count,upload_date,duration,channel,elapsed_days,views_per_day,included,exclusion_reasons,published_mark,own_row,own_title,match_basis,source_file,sha256
Z7JIfzBF8EE,【遭難バイアス5選】カセットテープから流れる死者の声 旭岳SOS遭難事故1989年【地図とアニメで解説】,236366,20250426,7727,生きて山から帰るには【山岳遭難解説】,504,468.98015873015873,False,['複数選'],,,,,video_full_default_Z7JIfzBF8EE.json,d78a5e0acc35634075589bbbb79a3e2180f30b6ebd642e69bd276db087e708bd
ZUbU0Oyg3dk,広告なし【スミレの怪談】幻画廊（高嶺スミレ）,,20250720,528,生きて山から帰るには【山岳遭難解説】,419,,False,"['メンバーシップ限定', '怪談']",,,,,video_full_default_ZUbU0Oyg3dk.json,7c3ec71a8aba2b2fe80f53a87d8d3ba71dafb30f790e1f9e49905e7b2a74b42e
ZVziEOwxv2I,広告なし【スミレの朗読】富嶽百景（太宰治）,,20250630,1542,生きて山から帰るには【山岳遭難解説】,439,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_ZVziEOwxv2I.json,978839f9f7297260238951d01ac137c2993cffdc2c33184ea30049f35548e7cf
Zt6sEgV_Cpw,毎年1000人道迷い。迷う前にコレ！道迷い対策最新版 2025年総集編④,164741,20251227,12585,生きて山から帰るには【山岳遭難解説】,259,636.065637065637,False,['総集編'],,,,,video_full_default_Zt6sEgV_Cpw.json,57d726d14894502f257dbdbbcedb5ed1831aa376ff406858d93e90d1ad787301
_ZNYMA9y_Qw,【グループ登山遭難5選】大学生vsヒグマ 悲惨すぎる結末...福岡大ヒグマ事件1970年【地図とアニメで解説】,166473,20250621,6545,生きて山から帰るには【山岳遭難解説】,448,371.59151785714283,False,['複数選'],,,,,video_full_default__ZNYMA9y_Qw.json,15a000748de302d7f4f3772124f140c40b6a3644651e7d61743043742f6cac5e
_i1fZZ4cP0A,広告なし【スミレの朗読】『檸檬』『路上』(梶井 基次郎),,20251103,2078,生きて山から帰るには【山岳遭難解説】,313,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default__i1fZZ4cP0A.json,db4a34521208850db941b04c73b2b9325850d298aff69a931e000bec7b5b3653
bF_YEesRZIM,広告なし【スミレの朗読】『遠野物語』山の人生（柳田国男）,,20250723,899,生きて山から帰るには【山岳遭難解説】,416,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_bF_YEesRZIM.json,11124f5077a5163e3b2953ba83146323dbad123cb1d5003b292c16ac8d1dfdbb
cfymOpcR4JM,始まりは一人の滑落遭難。山岳遭難が次々と連鎖していき、たった数日で犠牲者9名に「奥秩父4重遭難事故」【地形図から解説】,448480,20231205,606,山岳遭難ファイル,1012,443.1620553359684,False,['2010年奥秩父4重遭難の複数事故'],,,,,video_full_default_cfymOpcR4JM.json,b4a651ecaffcad36457300df899bf06f0933b6f05b12cb343a01736aa6a0d37f
de1q3qGp10U,【広告なし】睡眠・作業用遭難事例4選②,,20250610,6852,生きて山から帰るには【山岳遭難解説】,459,,False,"['メンバーシップ限定', '複数選']",,,,,video_full_default_de1q3qGp10U.json,51e49854e9b1a4710b9103c219b5397ddb49020ab8274b97166ae8f290532b19
fiBhCx3244U,広告なし【スミレの朗読】カチカチ山（太宰治）,,20250601,1140,生きて山から帰るには【山岳遭難解説】,468,,False,"['メンバーシップ限定', '朗読']",,,,,video_full_default_fiBhCx3244U.json,3dc911f92c648882e9743e995cf1135b1108a7ab6e48fa68c6601cb5ea6e510f
